Text,Speaker,Episode,Season,Show
[JON pulls up a white wolf pup.],,e1-Winter is Coming,season-01,Game-of-Thrones
" The runt of the litter. That one's yours, Snow.",THEON,e1-Winter is Coming,season-01,Game-of-Thrones
"[Scene shifts to bells ringing at Kings Landing. In front of the Iron Throne, surrounded by druidical looking celebrants, lies the body of JON ARRYN. Up in the balcony, CERSEI watches the scene below as JAIME approaches.]",,e1-Winter is Coming,season-01,Game-of-Thrones
" As your brother, I feel it's my duty to warn you: You worry too much. It's starting to show.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
" And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones
" There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
 What if Jon Arryn told someone?,CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones
 But who would he tell?,JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
 My husband.,CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones
" If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
 You should be the Hand of the king.,CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones
" That's an honor I can do without. Their days are too long, their lives are too short.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
[Scene shifts to a raven approaching Winterfell. CATELYN crosses a busy courtyard and finds NED in the godswood.],,e1-Winter is Coming,season-01,Game-of-Thrones
 All these years and I still feel like an outsider when I come here.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 You have five northern children. You're not an outsider.,Ned Stark,e1-Winter is Coming,season-01,Game-of-Thrones
 I wonder if the old gods agree.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 It's your gods with all the rules.,Ned Stark,e1-Winter is Coming,season-01,Game-of-Thrones
" I am so sorry, my love.",CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 Tell me.,Ned Stark,e1-Winter is Coming,season-01,Game-of-Thrones
 There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 Your sister. The boy É??,Ned Stark,e1-Winter is Coming,season-01,Game-of-Thrones
 They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
" He's coming this far North, there's only one thing he's after.",Ned Stark,e1-Winter is Coming,season-01,Game-of-Thrones
" You can always say no, Ned.",CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
[Scene shifts to the Winterfell great hall where a great banquet is being prepared.],,e1-Winter is Coming,season-01,Game-of-Thrones
 We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 I'm told he drinks all night.,MAESTER LUWIN,e1-Winter is Coming,season-01,Game-of-Thrones
 How much could he possibly drink? A man of his É?? stature.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,LUWIN,e1-Winter is Coming,season-01,Game-of-Thrones
" In any case, candles.",CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
"[Scene shifts to Robb, Theon, and Jon getting barbered.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Why's your mother so dead-set on us getting pretty for the king?,JON,e1-Winter is Coming,season-01,Game-of-Thrones
" It's for the queen, I bet. I hear she's [sleek as a mink?]",THEON,e1-Winter is Coming,season-01,Game-of-Thrones
 I hear the prince is a right royal prick.,ROBB,e1-Winter is Coming,season-01,Game-of-Thrones
 Think of all those southern girls he gets to stab with his right royal prick.,THEON,e1-Winter is Coming,season-01,Game-of-Thrones
" Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",ROBB,e1-Winter is Coming,season-01,Game-of-Thrones
"[Scene shifts to the royal procession approaching Winterfell. Bran sees them from his perch high atop a castle wall and clambers nimbly down to tell everyone. CATELYN and LUWIN walk to the courtyard, passing BRAN's wolf pup.]",,e1-Winter is Coming,season-01,Game-of-Thrones
" Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 I saw the king! He's got hundreds of people!,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones
 How many times have I told you: No climbing!,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 But he's coming right now! Down our road!,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones
 I want you to promise me: No more climbing.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 I promise.,BRAN (looking down),e1-Winter is Coming,season-01,Game-of-Thrones
 D'you know what?,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 What?,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones
 You always look at your feet before you lie. Run and find your father. Tell him the king is close.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
"[BRAN runs off, followed by his wolf pup.]",,e1-Winter is Coming,season-01,Game-of-Thrones
"[Scene shifts to grand entry of the king's horses and men. ARYA, wearing a helm and cloak, pushes her way into a tall wagon for a better look. In rides JOFFREY, followed by the HOUND. The other Starks wait in a greeting line.]",,e1-Winter is Coming,season-01,Game-of-Thrones
" Where's Arya? Sansa, where's your sister?",CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
[More riders with banners. ARYA scoots past her parents to get in the receiving line.],,e1-Winter is Coming,season-01,Game-of-Thrones
" Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]",Ned Stark,e1-Winter is Coming,season-01,Game-of-Thrones
 Move!,ARYA (pushing BRAN),e1-Winter is Coming,season-01,Game-of-Thrones
"[JOFFREY rides up, SANSA smiles at him, ROBB glares at JOFFREY. The HOUND pulls up his helm. The coach carrying CERSEI lumbers in, followed by KING ROBERT. All kneel. ROBERT heaves himself off his horse. NED looks shocked at the sight of his old friend, now fat and red-faced. ROBERT signals for all to rise and looks at NED.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Your Grace.,Ned Stark,e1-Winter is Coming,season-01,Game-of-Thrones
 You've got fat.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
[NED gives ROBERT a É??What about you?É?ù look. They start laughing.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Cat!,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
 Your Grace.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 Nine years. Why haven't I seen you? Where the hell have you been?,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
" Guarding the North for you, Your Grace. Winterfell is yours.",Ned Stark,e1-Winter is Coming,season-01,Game-of-Thrones
[CERSEI and her other children descend from the coach.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Where's the Imp?,ARYA,e1-Winter is Coming,season-01,Game-of-Thrones
 Will you shut up?,SANSA,e1-Winter is Coming,season-01,Game-of-Thrones
" Who have we here? You must be Robb. (To Sansa) My, you're a pretty one. (To Arya) Your name is?",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
 Arya.,ARYA,e1-Winter is Coming,season-01,Game-of-Thrones
ROBERT (to BRAN) Ooh. Show us your muscles. You'll be a soldier.,,e1-Winter is Coming,season-01,Game-of-Thrones
[JAIME removes his helm.],,e1-Winter is Coming,season-01,Game-of-Thrones
 That's Jaime Lannister. The queen's twin brother.,ARYA,e1-Winter is Coming,season-01,Game-of-Thrones
 Would you please shut up.,SANSA,e1-Winter is Coming,season-01,Game-of-Thrones
[CERSEI approaches.],,e1-Winter is Coming,season-01,Game-of-Thrones
 My queen.,Ned Stark,e1-Winter is Coming,season-01,Game-of-Thrones
 My queen.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
